	Rope coordinates on image plane 
	x	y 
-0.118095	-0.268571
-0.11619	-0.268571
-0.114286	-0.268571
-0.112381	-0.268571
-0.110476	-0.268571
-0.108571	-0.268571
-0.106667	-0.268571
-0.121905	-0.266667
-0.12	-0.266667
-0.118095	-0.266667
-0.11619	-0.266667
-0.114286	-0.266667
-0.112381	-0.266667
-0.110476	-0.266667
-0.108571	-0.266667
-0.106667	-0.266667
-0.125714	-0.264762
-0.12381	-0.264762
-0.121905	-0.264762
-0.12	-0.264762
-0.118095	-0.264762
-0.11619	-0.264762
-0.114286	-0.264762
-0.112381	-0.264762
-0.110476	-0.264762
-0.108571	-0.264762
-0.127619	-0.262857
-0.125714	-0.262857
-0.12381	-0.262857
-0.121905	-0.262857
-0.12	-0.262857
-0.118095	-0.262857
-0.11619	-0.262857
-0.114286	-0.262857
-0.112381	-0.262857
-0.110476	-0.262857
-0.127619	-0.260952
-0.125714	-0.260952
-0.12381	-0.260952
-0.121905	-0.260952
-0.12	-0.260952
-0.118095	-0.260952
-0.11619	-0.260952
-0.114286	-0.260952
-0.112381	-0.260952
-0.110476	-0.260952
-0.129524	-0.259048
-0.127619	-0.259048
-0.125714	-0.259048
-0.12381	-0.259048
-0.121905	-0.259048
-0.12	-0.259048
-0.118095	-0.259048
-0.11619	-0.259048
-0.114286	-0.259048
-0.112381	-0.259048
-0.110476	-0.259048
-0.131429	-0.257143
-0.129524	-0.257143
-0.127619	-0.257143
-0.125714	-0.257143
-0.12381	-0.257143
-0.121905	-0.257143
-0.12	-0.257143
-0.118095	-0.257143
-0.11619	-0.257143
-0.114286	-0.257143
-0.112381	-0.257143
-0.110476	-0.257143
-0.131429	-0.255238
-0.129524	-0.255238
-0.127619	-0.255238
-0.125714	-0.255238
-0.12381	-0.255238
-0.121905	-0.255238
-0.12	-0.255238
-0.118095	-0.255238
-0.11619	-0.255238
-0.114286	-0.255238
-0.112381	-0.255238
-0.131429	-0.253333
-0.129524	-0.253333
-0.127619	-0.253333
-0.125714	-0.253333
-0.12381	-0.253333
-0.121905	-0.253333
-0.12	-0.253333
-0.118095	-0.253333
-0.11619	-0.253333
-0.131429	-0.251429
-0.129524	-0.251429
-0.127619	-0.251429
-0.125714	-0.251429
-0.12381	-0.251429
-0.121905	-0.251429
-0.12	-0.251429
-0.118095	-0.251429
-0.11619	-0.251429
-0.129524	-0.249524
-0.127619	-0.249524
-0.125714	-0.249524
-0.12381	-0.249524
-0.121905	-0.249524
-0.12	-0.249524
-0.118095	-0.249524
-0.125714	-0.247619
-0.12381	-0.247619
-0.121905	-0.247619
-0.131429	-0.251429
-0.129524	-0.251429
-0.127619	-0.251429
-0.125714	-0.251429
-0.12381	-0.251429
-0.121905	-0.251429
-0.12	-0.251429
-0.118095	-0.251429
-0.11619	-0.251429
-0.129524	-0.249524
-0.127619	-0.249524
-0.125714	-0.249524
-0.12381	-0.249524
-0.121905	-0.249524
-0.12	-0.249524
-0.118095	-0.249524
-0.125714	-0.247619
-0.12381	-0.247619
-0.121905	-0.247619
-0.129524	-0.232381
-0.127619	-0.232381
-0.133333	-0.230476
-0.131429	-0.230476
-0.129524	-0.230476
-0.127619	-0.230476
-0.125714	-0.230476
-0.12381	-0.230476
-0.135238	-0.228571
-0.133333	-0.228571
-0.131429	-0.228571
-0.129524	-0.228571
-0.127619	-0.228571
-0.125714	-0.228571
-0.12381	-0.228571
-0.121905	-0.228571
-0.137143	-0.226667
-0.135238	-0.226667
-0.133333	-0.226667
-0.131429	-0.226667
-0.129524	-0.226667
-0.127619	-0.226667
-0.125714	-0.226667
-0.12381	-0.226667
-0.121905	-0.226667
-0.139048	-0.224762
-0.137143	-0.224762
-0.135238	-0.224762
-0.133333	-0.224762
-0.131429	-0.224762
-0.129524	-0.224762
-0.127619	-0.224762
-0.125714	-0.224762
-0.12381	-0.224762
-0.121905	-0.224762
-0.139048	-0.222857
-0.137143	-0.222857
-0.135238	-0.222857
-0.133333	-0.222857
-0.131429	-0.222857
-0.129524	-0.222857
-0.127619	-0.222857
-0.125714	-0.222857
-0.12381	-0.222857
-0.139048	-0.220952
-0.137143	-0.220952
-0.135238	-0.220952
-0.133333	-0.220952
-0.131429	-0.220952
-0.129524	-0.220952
-0.127619	-0.220952
-0.137143	-0.219048
-0.135238	-0.219048
-0.133333	-0.219048
-0.131429	-0.219048
-0.129524	-0.219048
-0.139048	-0.217143
-0.137143	-0.217143
-0.135238	-0.217143
-0.133333	-0.217143
-0.131429	-0.217143
-0.129524	-0.217143
-0.127619	-0.217143
-0.139048	-0.215238
-0.137143	-0.215238
-0.135238	-0.215238
-0.133333	-0.215238
-0.131429	-0.215238
-0.129524	-0.215238
-0.127619	-0.215238
-0.139048	-0.213333
-0.137143	-0.213333
-0.135238	-0.213333
-0.133333	-0.213333
-0.131429	-0.213333
-0.129524	-0.213333
-0.127619	-0.213333
-0.137143	-0.211429
-0.135238	-0.211429
-0.133333	-0.211429
-0.131429	-0.211429
-0.129524	-0.211429
-0.137143	-0.209524
-0.133333	-0.209524
-0.140952	-0.207619
-0.139048	-0.207619
-0.137143	-0.207619
-0.135238	-0.207619
-0.133333	-0.207619
-0.142857	-0.205714
-0.140952	-0.205714
-0.139048	-0.205714
-0.137143	-0.205714
-0.135238	-0.205714
-0.133333	-0.205714
-0.131429	-0.205714
-0.142857	-0.20381
-0.140952	-0.20381
-0.139048	-0.20381
-0.137143	-0.20381
-0.135238	-0.20381
-0.133333	-0.20381
-0.131429	-0.20381
-0.142857	-0.201905
-0.140952	-0.201905
-0.139048	-0.201905
-0.137143	-0.201905
-0.135238	-0.201905
-0.133333	-0.201905
-0.131429	-0.201905
-0.129524	-0.201905
-0.140952	-0.2
-0.139048	-0.2
-0.137143	-0.2
-0.135238	-0.2
-0.133333	-0.2
-0.131429	-0.2
-0.129524	-0.2
-0.140952	-0.198095
-0.139048	-0.198095
-0.137143	-0.198095
-0.135238	-0.198095
-0.133333	-0.198095
-0.131429	-0.198095
-0.129524	-0.198095
-0.142857	-0.19619
-0.140952	-0.19619
-0.139048	-0.19619
-0.137143	-0.19619
-0.135238	-0.19619
